Winner,Loser,Date,Game
ANKIT,AMAN,2026-04-26 09:05:46,TIC TAC TOE
AMAN,ANKIT,2026-04-26 09:10:03,CONNECT 4
AMAN,ANKIT,2026-04-26 09:11:12,CONNECT 4
PRIYA,AKSHITA,2026-04-26 10:18:14,CONNECT 4
HARSH,DIKSHA,2026-04-26 10:19:41,CONNECT 4
ANKIT,AMAN,2026-04-26 10:40:13,TIC TAC TOE
RAHUL,AMAN,2026-04-26 11:46:53,TIC TAC TOE
RAHUL,AMAN,2026-04-26 12:19:43,TIC TAC TOE
AMAN,RAHUL,2026-04-26 12:21:35,TIC TAC TOE
AMAN,RAHUL,2026-04-26 12:41:24,TIC TAC TOE
AMAN,RAHUL,2026-04-26 12:44:14,TIC TAC TOE
RAHUL,AMAN,2026-04-26 12:56:36,TIC TAC TOE
RAHUL,AMAN,2026-04-26 13:07:41,TIC TAC TOE
AMAN,RAHUL,2026-04-26 13:45:31,TIC TAC TOE
u,y,2026-04-26 14:02:35,TIC TAC TOE
ANKIT,AMAN,2026-04-26 14:22:19,CONNECT 4
ANKIT,AMAN,2026-04-26 14:32:24,CONNECT 4
AMAN,ANKIT,2026-04-26 16:28:26,TIC TAC TOE
ankush,AMAN,2026-04-26 16:29:33,CONNECT 4
AMAN,ankush,2026-04-26 16:30:42,CONNECT 4
ankush,AMAN,2026-04-26 16:31:10,CONNECT 4
r,t,2026-04-28 21:58:29,TIC TAC TOE
r,t,2026-04-28 21:59:14,TIC TAC TOE
AAKASH,ALLEN,2026-04-28 22:04:23,TIC TAC TOE
AAKASH,ALLEN,2026-04-28 22:07:09,OTHELLO
ALLEN,AAKASH,2026-04-28 22:07:52,CONNECT 4
t,r,2026-04-28 22:16:49,CONNECT 4
r,t,2026-04-28 22:20:39,CONNECT 4
t,r,2026-04-28 22:34:31,CONNECT 4
AAKASH,ALLEN,2026-04-28 22:37:31,TIC TAC TOE
ALLEN,AAKASH,2026-04-28 22:38:39,CONNECT 4
AAKASH,ALLEN,2026-04-28 22:40:58,OTHELLO
R,T,2026-04-28 22:44:38,CONNECT 4
Q,W,2026-04-28 22:47:28,TIC TAC TOE
AAKASH,ALLEN,2026-04-28 23:03:42,TIC TAC TOE
AAKASH,ALLEN,2026-04-28 23:04:58,CONNECT 4
ALLEN,AAKASH,2026-04-29 06:27:10,TIC TAC TOE
AS,WE,2026-04-29 06:28:59,TIC TAC TOE
AS,WE,2026-04-29 06:30:41,CONNECT 4
AS,WE,2026-04-29 06:41:28,CONNECT 4
